split,family,sigma,rho_d,T
Stress,Near-barrier stress,0.16301975243253472,0.0260681744614892,0.6314043689655294
Stress,Near-barrier stress,0.285655824488579,0.01965245489744919,0.8993634807449673
Stress,Near-barrier stress,0.15909216310261226,0.017407716799077308,0.9669539099867359
Stress,Near-barrier stress,0.22272666897008273,0.01623536645235699,0.4189278324490109
Stress,Near-barrier stress,0.20044625813919328,0.02697055935945189,1.061977054006794
Stress,Near-barrier stress,0.26554668363795425,0.01327838708473623,0.9312504879915082
Stress,Near-barrier stress,0.17568796648808366,0.022304402117246387,0.9790705039313379
Stress,Near-barrier stress,0.33952903428616654,0.008771055493128142,0.8204467024784325
Stress,Near-barrier stress,0.3110399814020217,0.008477204839018416,1.3028740973488842
Stress,Near-barrier stress,0.1684558990452097,0.01486317343198182,0.5158408623957763
Stress,Near-barrier stress,0.20404947365678774,0.0033364072964781194,1.0235482259974018
Stress,Near-barrier stress,0.3287088072071606,0.009136200290143753,1.253647610013161
Stress,Near-barrier stress,0.22943887688403913,0.027518463014876815,0.8564788374062784
Stress,Near-barrier stress,0.22069313023036707,0.009943804736654677,0.6505409769009378
Stress,Near-barrier stress,0.18854761462220684,0.00717347577245162,0.331550073635222
Stress,Near-barrier stress,0.2783815439932579,0.019300840460381455,1.1446322471874442
Stress,Near-barrier stress,0.26223533016381245,0.0025232623342136846,0.3256843616410237
Stress,Near-barrier stress,0.28004447627931783,0.025598597796289264,0.39372503455063257
Stress,Near-barrier stress,0.18303491120510346,0.010664730056860246,1.4534370066102495
Stress,Near-barrier stress,0.15585896991222137,0.023815432350520263,0.711783573640666
Stress,Near-barrier stress,0.22692676882842283,0.02029924322218646,0.3730700415084791
Stress,Near-barrier stress,0.1737502679709165,0.028633268322699697,0.4321687462535021
Stress,Near-barrier stress,0.20713263242549343,0.005318097463888401,0.8736113500460034
Stress,Near-barrier stress,0.17220407435539126,0.012876849641158294,1.0808218670611176
Stress,Near-barrier stress,0.3050044069338731,0.006041768995118743,0.4740353747500162
Stress,Near-barrier stress,0.21261815121873126,0.00786606142623111,1.2377068066359092
Stress,Near-barrier stress,0.34533949989763957,0.009514924565925873,0.9023633463799074
Stress,Near-barrier stress,0.2877333940414638,0.0037470811064405233,1.127803796243949
Stress,Near-barrier stress,0.29319536358610876,0.023431953088719273,1.1104209149745725
Stress,Near-barrier stress,0.27568992706239814,0.008217063481895772,0.9966952765431336
Stress,Near-barrier stress,0.20845005781630868,0.021972453025374115,1.3155686408058547
