split,family,sigma,rho_d,T
Stress,Short-maturity / low-vol stress,0.1816592938352693,0.09780063542548822,0.28389638535521866
Stress,Short-maturity / low-vol stress,0.19447959678618632,0.06931924568190816,0.17433549083792232
Stress,Short-maturity / low-vol stress,0.15712345913012507,0.04596823162088474,0.1928850190145336
Stress,Short-maturity / low-vol stress,0.17768673955761596,0.04320239320960622,0.325757956522362
Stress,Short-maturity / low-vol stress,0.1668748099598822,0.08118359839876599,0.25065510960649695
Stress,Short-maturity / low-vol stress,0.12772416991280458,0.08509462583424802,0.05196225768444414
Stress,Short-maturity / low-vol stress,0.13867925193974706,0.09218060611152418,0.24075885264199692
Stress,Short-maturity / low-vol stress,0.149448214590592,0.05379558000481452,0.11430696460432166
Stress,Short-maturity / low-vol stress,0.15445095580780427,0.03008104979237583,0.310575232894396
Stress,Short-maturity / low-vol stress,0.16312012698734224,0.06736397196432439,0.16412447141734043
Stress,Short-maturity / low-vol stress,0.16022755841923586,0.056593091018613775,0.3205456836081129
Stress,Short-maturity / low-vol stress,0.19138314472563378,0.08832937473760498,0.10371126426574262
Stress,Short-maturity / low-vol stress,0.18625181132832713,0.0413819278338077,0.05452867758450544
Stress,Short-maturity / low-vol stress,0.13729234837639956,0.07437886083695568,0.24409488980614452
Stress,Short-maturity / low-vol stress,0.18831443411472776,0.03700394154875775,0.12359733124258278
Stress,Short-maturity / low-vol stress,0.14433348586443673,0.06586043391454123,0.10777595066186928
Stress,Short-maturity / low-vol stress,0.134718450078478,0.05285955931433113,0.11906646932510087
Stress,Short-maturity / low-vol stress,0.18042713290824808,0.0156502568600618,0.09294288938518006
Stress,Short-maturity / low-vol stress,0.18400834712468078,0.07754452336386869,0.219681415220717
Stress,Short-maturity / low-vol stress,0.19648831975885594,0.010620241003938179,0.31979400933841956
Stress,Short-maturity / low-vol stress,0.16150128251639456,0.016908388418154813,0.1894487315188612
Stress,Short-maturity / low-vol stress,0.14665313704337266,0.023624096485760818,0.23386705790170054
Stress,Short-maturity / low-vol stress,0.1892838569216881,0.07332531902172172,0.06234727516793865
Stress,Short-maturity / low-vol stress,0.18328256031466003,0.08253820050534101,0.3412105706357256
Stress,Short-maturity / low-vol stress,0.13232574409723752,0.06347085194119165,0.17387520699114792
Stress,Short-maturity / low-vol stress,0.16973649794756904,0.08058517675192448,0.19965617137970065
Stress,Short-maturity / low-vol stress,0.14620263056111746,0.07185844373269781,0.16843731773243942
Stress,Short-maturity / low-vol stress,0.12839386724924845,0.03206871797590383,0.07657657793222097
Stress,Short-maturity / low-vol stress,0.17107882399598123,0.028803840729655555,0.13830015854517402
Stress,Short-maturity / low-vol stress,0.1682640737839585,0.08600911389731115,0.23689592332818998
Stress,Short-maturity / low-vol stress,0.16459282282034057,0.09378386419483178,0.2571062867482415
Stress,Short-maturity / low-vol stress,0.14142267256183036,0.02747364143259913,0.20327294181694683
Stress,Short-maturity / low-vol stress,0.17377327277351068,0.024343678423739558,0.21121344931372343
Stress,Short-maturity / low-vol stress,0.17698247976516207,0.048260470746714516,0.1803056397094066
Stress,Short-maturity / low-vol stress,0.15932036334898758,0.03863026286108307,0.3015830251665273
Stress,Short-maturity / low-vol stress,0.16416557748197455,0.01229435404198476,0.28872212327942315
Stress,Short-maturity / low-vol stress,0.18239746216591435,0.0316499948772679,0.2733605495922062
Stress,Short-maturity / low-vol stress,0.14803550412837474,0.0992398502148782,0.09145020573368154
Stress,Short-maturity / low-vol stress,0.1865494824382346,0.05146012132112255,0.15793836750205764
Stress,Short-maturity / low-vol stress,0.12303912053199569,0.03365506471401038,0.14213749138064727
Stress,Short-maturity / low-vol stress,0.13505483722926062,0.0647235760857819,0.26148213177109453
Stress,Short-maturity / low-vol stress,0.1397276990227285,0.05882545085957369,0.2977163029953505
Stress,Short-maturity / low-vol stress,0.19717436982300007,0.04035846390245587,0.06935092499652407
Stress,Short-maturity / low-vol stress,0.1657720735307718,0.061315333247912295,0.2289522450079925
Stress,Short-maturity / low-vol stress,0.15164964805784992,0.07647304842726442,0.3036518383162805
Stress,Short-maturity / low-vol stress,0.12409290157578495,0.046760720464610064,0.1853089148629654
