epoch,stage,sampling_mode,total,pde,boundary,positivity,w_pde,w_terminal,w_anchor,w_farfield,w_boundary,w_positivity,grad_norm,val_price_q95,val_low_rho_q95,val_residual_q95,val_composite,best_val_composite
1,adam,uniform,7.039227485656738,1.8730823993682861,0.0,0.0,0.178108094837158,42.25181497273065,27.76815636489157,8.22083803901569,0.0,0.0,8.72293142490279,613.5106671054191,538.5932942044371,4.816337180137626,613.5106671054191,613.5106671054191
26,adam,uniform,1.4329499006271362,0.2813260853290558,0.0,0.0,0.26700332036450625,41.338852345202774,26.12727711938086,8.690280847650213,0.0,0.0,5.133659316163656,233.2211249525197,160.9854096561114,1.5210335671901694,233.2211249525197,233.2211249525197
52,adam,uniform,0.1982535570859909,0.13696222007274628,0.0,0.0,0.6029387318641141,39.21024637304916,25.22919375854617,9.32405089921579,0.0,0.0,1.6644258967041128,82.20662462363539,87.27445898150422,0.8055454999208413,87.27445898150422,87.27445898150422
78,adam,uniform,0.04550182446837425,0.013341255486011505,0.0,0.0,1.0463319544107077,37.5375,24.615000000000002,9.120000000000001,0.0,0.0,0.348520419759718,30.0873478497095,29.718569984366518,0.37227820456027966,30.0873478497095,30.0873478497095
104,adam,uniform,0.025093285366892815,0.002944853389635682,0.0,0.0,1.1478942385652937,36.050000000000004,24.119999999999994,8.959999999999999,0.0,0.0,0.7298867677431374,32.612006181144274,34.7537226836694,0.12726841270923614,34.7537226836694,30.0873478497095
130,adam,uniform,0.01990668475627899,0.0020067233126610518,0.0,0.0,1.2547149699531195,34.56250000000001,23.625000000000004,8.8,0.0,0.0,0.3367682566044115,34.86413184982459,35.510212242867624,0.1034828707575798,35.510212242867624,30.0873478497095
156,adam,uniform,0.017674122005701065,0.0018834626534953713,0.0,0.0,1.3659222216295683,33.074999999999996,23.13,8.64,0.0,0.0,0.17190414570291987,34.27497691641847,34.3106523534795,0.10383250340819355,34.3106523534795,30.0873478497095
182,adam,uniform,0.014881228096783161,0.001932465354911983,0.0,0.0,1.4809149898031169,31.587499999999995,22.634999999999998,8.479999999999999,0.0,0.0,0.15637954691062275,33.628924145757566,33.92397213361579,0.10401479415595531,33.92397213361579,30.0873478497095
208,adam,uniform,0.010478188283741474,0.0016894744476303458,0.0,0.0,1.5992510791057983,30.099999999999994,22.14,8.32,0.0,0.0,0.08320382572415444,31.55931932254803,32.10965906243012,0.11101475954055787,32.10965906243012,30.0873478497095
528,lbfgs,uniform,0.0296022966504097,0.0042291185818612576,0.0,0.0,3.2000000000000006,12.250000000000002,16.2,6.4,0.0,0.08000000000000002,,26.76704631109612,26.019970224294998,0.30179970413446405,26.76704631109612,26.76704631109612
536,lbfgs,uniform,0.023212751373648643,0.004016590770334005,0.0,0.0,3.2000000000000006,12.250000000000002,16.2,6.4,0.0,0.08000000000000002,,29.228790198591533,31.541468586089753,0.21934439390897745,31.541468586089753,26.76704631109612
544,lbfgs,uniform,0.015981687232851982,0.0019278099061921239,0.0,0.0,3.2000000000000006,12.250000000000002,16.2,6.4,0.0,0.08000000000000002,,33.72776213686326,34.839523800925726,0.09875407963991165,34.839523800925726,26.76704631109612
