split,family,sigma,rho_d,T
Stress,Wide stress panel,0.36286697266522194,0.00841574381043068,0.5068466024326992
Stress,Wide stress panel,0.1804690784075066,0.006082438168024745,0.48048294875069875
Stress,Wide stress panel,0.24574859987451492,0.02685136620768549,0.719349021242924
Stress,Wide stress panel,0.3113792527425794,0.05530578300649681,0.3507774942788698
Stress,Wide stress panel,0.20688743944527993,0.05937464440838026,0.933542471418699
Stress,Wide stress panel,0.3340294018318428,0.10914382264647321,0.42849882158289904
Stress,Wide stress panel,0.3786996512233543,0.07955731547083948,0.2541049164897784
Stress,Wide stress panel,0.35742965944143135,0.07179636199651636,0.8142776510361218
Stress,Wide stress panel,0.2875188182084787,0.07061651697601497,0.41483391733572816
Stress,Wide stress panel,0.1539540302726391,0.08696879419709548,0.5256868205538889
Stress,Wide stress panel,0.1729081685856795,0.12234622530750566,0.23153109555246926
Stress,Wide stress panel,0.14901410511754248,0.00461628740217629,0.07322082632122015
Stress,Wide stress panel,0.2900847480473536,0.002057111454567658,0.9082071387233557
Stress,Wide stress panel,0.13355630596486812,0.12679731360042099,0.3563396823264586
Stress,Wide stress panel,0.2106708036505583,0.14011968863091923,0.9502095842572108
Stress,Wide stress panel,0.1688422825688129,0.014525864078476008,0.10301414423674987
Stress,Wide stress panel,0.3469741269357201,0.07739111036268595,0.5811392714935663
Stress,Wide stress panel,0.12407699798238733,0.03055407440864128,0.65287517482103
Stress,Wide stress panel,0.2676097858923583,0.04034232629168787,0.696948125142378
Stress,Wide stress panel,0.30462774602303033,0.011922017239642979,0.6112272221405437
Stress,Wide stress panel,0.3008824601728128,0.028316477657033844,0.6750462429205708
Stress,Wide stress panel,0.23490458206821369,0.09989963291620182,0.6349321501498789
Stress,Wide stress panel,0.3911712754327769,0.04550079093007796,0.4442212274881927
Stress,Wide stress panel,0.2033107806173913,0.12984755787302868,0.6040164317703313
Stress,Wide stress panel,0.21870954736089548,0.034050909002833585,0.2447317985967331
Stress,Wide stress panel,0.126296882509641,0.12760679018009619,0.38275205512915217
Stress,Wide stress panel,0.3313695365607161,0.10171293782066154,0.974351570493907
Stress,Wide stress panel,0.21006166374134058,0.146665032066541,0.7138599650492857
Stress,Wide stress panel,0.3951082668366727,0.1311681478812798,0.39043407446583744
Stress,Wide stress panel,0.2567669146124,0.09567905540745757,0.0939199690100931
Stress,Wide stress panel,0.37512451374405237,0.06317197334106818,0.32924142291207437
Stress,Wide stress panel,0.36174471443013495,0.1376167603577711,0.6288244062679256
Stress,Wide stress panel,0.24245538931474492,0.11527260632874653,0.1487666396513554
Stress,Wide stress panel,0.17242822855803955,0.0853378966368427,0.8581924198691825
Stress,Wide stress panel,0.1660948672984009,0.06795005412076138,0.7308324724862976
Stress,Wide stress panel,0.2387023952452837,0.07407941100252288,0.9007672837320865
Stress,Wide stress panel,0.2627932328397148,0.09060869029389884,0.7497559839866195
Stress,Wide stress panel,0.3171630529711504,0.010339080892985344,0.16785504089910536
Stress,Wide stress panel,0.3358633103487719,0.12018984849528344,0.4033197186721405
Stress,Wide stress panel,0.3974659438312893,0.078994068297237,0.4686943588719019
Stress,Wide stress panel,0.2993150292404082,0.009468050734171955,0.05855756838659636
Stress,Wide stress panel,0.26425857840305333,0.06684261067199818,0.31272282428351295
Stress,Wide stress panel,0.36998905129621973,0.07522849105322874,0.5664238406890064
Stress,Wide stress panel,0.31490182891036744,0.02218635284266294,0.6707388075631981
Stress,Wide stress panel,0.3252100745001736,0.042230177735687394,0.8775748940621088
Stress,Wide stress panel,0.27891115565967245,0.08150397579850878,0.37244074105841696
Stress,Wide stress panel,0.159101139460604,0.03947213748058121,0.8435268146237006
Stress,Wide stress panel,0.36762223842982933,0.05163437534478521,0.27833966815202454
Stress,Wide stress panel,0.3741983348564967,0.016196826690074953,0.17806471091559822
Stress,Wide stress panel,0.1911816997078783,0.1350914765569194,0.495534989479404
Stress,Wide stress panel,0.3084651019206811,0.12442916157876363,0.06247932950079084
