Method,Batch size,Contracts/sec
FDM,1,453514.7372173871
FDM,8,515713.13535126264
FDM,32,529363.1100007783
FDM,128,529947.5571974742
FDM,512,533111.2036564243
FDM,2048,533217.6176981343
Supervised surrogate,1,6351.827739125789
Supervised surrogate,8,32432.651573807743
Supervised surrogate,32,49303.77674721098
Supervised surrogate,128,155647.07026350347
Supervised surrogate,512,611503.9174276787
Supervised surrogate,2048,1376967.1760362417
PINN,1,2431.8179055607984
PINN,8,17982.579376481033
PINN,32,68265.57441843073
PINN,128,237564.9592135863
PINN,512,1164359.6779252174
PINN,2048,1893292.7393817361
